time,point_2,point_3,point_4
0.0,21087.36,3640.07987448,1631.7599999999998
900.0,12426.47987448,3514.56012552,1506.24
1800.0,11171.28025104,3891.11987448,1506.24
2700.0,11924.39987448,3640.07987448,1380.7199999999998
3600.0,19832.1612552,4393.2,1380.7199999999998
4500.0,12677.52,4393.2,1506.24
5400.0,12677.52,3640.07987448,1506.24
6300.0,11045.759999999998,4142.16,1631.7599999999998
7200.0,11045.759999999998,3891.11987448,1631.7599999999998
8100.0,12175.44037656,4142.16,1506.24
9000.0,20208.72,3891.11987448,1506.24
9900.0,11924.39987448,3891.11987448,1380.7199999999998
10800.0,11924.39987448,4142.16,1506.24
11700.0,12175.44037656,4016.6402510400003,1506.24
12600.0,11422.319748959999,3891.11987448,1506.24
13500.0,20083.2,3891.11987448,1255.199974896
14400.0,11422.319748959999,3640.07987448,1380.7199999999998
15300.0,11798.87962344,4267.68025104,1380.7199999999998
16200.0,11547.839999999998,4267.68025104,1380.7199999999998
17100.0,11547.839999999998,3891.11987448,1380.7199999999998
18000.0,20710.8012552,4142.16,1380.7199999999998
18900.0,11045.759999999998,10418.159623440002,1506.24
19800.0,12300.95962344,8284.32,2635.92
20700.0,11171.28025104,8033.28037656,2635.92
21600.0,11924.39987448,8033.28037656,2761.4399999999996
22500.0,11924.39987448,13305.119999999999,2510.4
23400.0,20459.760000000002,1882.7999999999997,2510.4
24300.0,12426.47987448,7782.23987448,4393.2
25200.0,11798.87962344,7405.68,3514.56012552
26100.0,11798.87962344,7405.68,3514.56012552
27000.0,21087.36,7405.68,4016.6402510400003
27900.0,12049.92012552,7029.12025104,4016.6402510400003
28800.0,12300.95962344,7405.68,3514.56012552
29700.0,11171.28025104,6150.479874480001,8535.36050208
30600.0,11924.39987448,7405.68,0.0
31500.0,20961.840000000004,5773.919999999999,0.0
32400.0,12928.56,5773.919999999999,6778.0801255199995
33300.0,12928.56,6527.0401255199995,5522.879999999999
34200.0,12049.92012552,5522.879999999999,5397.36012552
35100.0,11798.87962344,5397.36012552,2635.92
36000.0,11171.28025104,5271.839874480001,1380.7199999999998
36900.0,20334.24,4518.71974896,1380.7199999999998
37800.0,11798.87962344,4518.71974896,1129.679949792
38700.0,11798.87962344,4393.2,1757.28
39600.0,12049.92012552,4769.759874480001,1757.28
40500.0,10920.23962344,5146.32012552,1631.7599999999998
41400.0,11798.87962344,4644.24,3138.0
42300.0,10418.159623440002,4518.71974896,3138.0
43200.0,10418.159623440002,4518.71974896,2510.4
44100.0,10418.159623440002,4644.24,2259.35987448
45000.0,11924.39987448,4016.6402510400003,2133.84012552
45900.0,7531.19987448,4393.2,1631.7599999999998
46800.0,8535.36050208,4016.6402510400003,1882.7999999999997
47700.0,11045.759999999998,4769.759874480001,1882.7999999999997
48600.0,18451.440000000002,3891.11987448,1882.7999999999997
49500.0,11045.759999999998,3891.11987448,1757.28
50400.0,11045.759999999998,4016.6402510400003,1631.7599999999998
51300.0,7782.23987448,7656.72012552,1631.7599999999998
52200.0,7656.72012552,3640.07987448,1757.28
53100.0,10794.72037656,4142.16,1757.28
54000.0,19204.559999999998,3640.07987448,1757.28
54900.0,10041.599748960001,3640.07987448,1757.28
55800.0,10041.599748960001,4267.68025104,1757.28
56700.0,9790.56025104,3640.07987448,1631.7599999999998
57600.0,10041.599748960001,3765.59987448,2008.3201255200001
58500.0,19957.678744800003,3514.56012552,1882.7999999999997
59400.0,10543.679874480002,3640.07987448,1882.7999999999997
60300.0,9665.04,3640.07987448,1631.7599999999998
61200.0,9665.04,3765.59987448,2133.84012552
62100.0,10418.159623440002,3765.59987448,1757.28
63000.0,11296.80050208,3891.11987448,1757.28
63900.0,10794.72037656,3891.11987448,2510.4
64800.0,9916.08050208,3891.11987448,2510.4
65700.0,9916.08050208,3891.11987448,1380.7199999999998
66600.0,9916.08050208,3765.59987448,0.0
67500.0,10418.159623440002,3891.11987448,0.0
68400.0,20585.28,4016.6402510400003,0.0
69300.0,10543.679874480002,4393.2,0.0
70200.0,10418.159623440002,3891.11987448,0.0
71100.0,10292.64025104,3891.11987448,0.0
72000.0,10292.64025104,4142.16,125.52
72900.0,19581.12,125.52,0.0
73800.0,10794.72037656,1631.7599999999998,0.0
74700.0,10669.200125520001,2384.87987448,0.0
75600.0,10418.159623440002,2008.3201255200001,0.0
76500.0,19957.678744800003,2008.3201255200001,0.0
77400.0,19957.678744800003,2510.4,0.0
78300.0,11045.759999999998,2008.3201255200001,0.0
79200.0,10920.23962344,2635.92,0.0
80100.0,9916.08050208,2635.92,125.52
81000.0,10794.72037656,2635.92,0.0
81900.0,19204.559999999998,2008.3201255200001,0.0
82800.0,11296.80050208,2008.3201255200001,0.0
83700.0,11296.80050208,2635.92,0.0
84600.0,10292.64025104,2510.4,0.0
85500.0,10794.72037656,2635.92,0.0
86400.0,20208.72,2510.4,0.0
87300.0,11045.759999999998,2510.4,0.0
88200.0,11045.759999999998,2510.4,0.0
89100.0,10041.599748960001,2510.4,125.52
90000.0,9916.08050208,2761.4399999999996,0.0
90900.0,18828.0012552,2384.87987448,125.52
91800.0,10041.599748960001,2635.92,0.0
92700.0,9665.04,2510.4,0.0
93600.0,9916.08050208,2510.4,0.0
94500.0,9916.08050208,2761.4399999999996,125.52
95400.0,17949.3612552,2510.4,125.52
96300.0,11422.319748959999,2886.9599999999996,0.0
97200.0,9665.04,2635.92,125.52
98100.0,10669.200125520001,2886.9599999999996,125.52
99000.0,19957.678744800003,2886.9599999999996,125.52
99900.0,19957.678744800003,2761.4399999999996,125.52
